;words;doc_occurance
0;abdominal;1
4;able;10
5;accidental;2
6;according;8
7;acid;9
27;acids;7
45;activities;3
46;add;3
47;adding;7
48;additional;9
53;adipocytes;1
54;adipose;2
59;alcohol;3
60;aliphatic;1
66;altered;3
67;angles;2
68;animal;8
71;april;9
73;area;8
74;article;8
82;articles;16
94;assertions;1
95;atoms;5
99;attached;4
100;attention;1
107;attentionarticles;1
108;attentionhealth;1
109;attraction;1
110;august;14
111;based;11
112;basics;2
113;beneath;2
116;blood;5
117;body;8
126;bond;5
128;bonded;3
131;bonding;3
132;bonds;2
137;brain;1
138;bran;2
139;break;5
140;broken;4
142;buffer;1
143;burned;1
144;butyric;1
145;called;15
152;calories;2
153;capital;1
154;carbohydrate;2
155;carbon;12
162;carbons;2
167;carboxyl;2
168;catalyst;4
169;categorized;1
171;cell;9
173;cells;7
174;central;7
175;cerotic;1
176;chain;8
183;chains;7
192;challenged;5
193;chemical;13
196;chemicals;4
197;cis;1
201;citations;7
203;closely;6
204;colza;1
205;common;14
206;composed;10
207;composition;7
208;compounds;12
209;conjunction;1
210;constitute;3
211;consumption;6
212;contain;10
213;contains;10
215;contaminants;1
216;content;6
218;converted;4
219;cookbook;1
220;coronary;1
221;counting;1
222;created;7
223;currently;7
224;degrade;2
225;dehydration;2
226;depend;4
227;der;4
228;derivatives;3
229;derived;11
230;desirable;1
232;despite;4
233;determines;4
234;diet;3
236;dietary;6
239;differ;7
240;different;16
243;digestion;1
244;discovered;7
245;discuss;2
247;divided;9
248;does;13
249;double;1
258;easily;8
259;effected;1
260;effectively;3
261;elaidic;1
262;eliminated;1
263;end;10
268;energy;12
273;enzymes;6
274;equal;3
276;equilibrium;2
277;essential;8
280;esterification;1
281;esters;2
282;excess;5
283;exemplified;2
284;expanded;7
286;expert;1
297;explain;1
298;extended;5
299;"false
";14
300;family;4
301;fat;2
314;fats;6
341;fatty;7
386;fewer;1
387;food;9
389;foodstuff;1
390;forces;3
391;form;15
393;forms;12
394;fuel;6
395;fully;5
396;general;13
397;generally;12
398;generated;5
399;glucagon;1
400;glucose;5
402;glycerated;1
403;glycerol;2
409;gram;1
410;groups;9
411;hair;1
412;hand;1
413;health;8
415;healthy;5
418;heart;5
420;help;11
425;helps;5
426;heterotrophs;2
427;hexacosanoic;1
428;high;13
429;higher;12
430;highlighted;1
431;horizontal;2
433;hormones;2
434;host;5
435;human;11
436;humans;8
437;hydrogen;8
438;hydrogenated;2
440;hydrogenation;2
441;illinois;1
442;importance;6
444;important;13
446;improve;8
450;includes;13
451;increase;10
452;increasing;8
453;indefinitely;7
455;inflammatory;1
456;insoluble;3
457;insulating;1
458;insulin;1
459;intended;2
460;intentional;2
461;intermolecular;1
462;involved;6
463;issue;2
465;issues;4
466;joins;1
467;june;12
473;k;4
474;kernel;1
475;kinds;3
476;kingdom;6
477;kinks;1
478;kj;2
479;known;16
480;labelling;2
481;lard;1
482;large;14
483;left;2
484;lengths;1
485;letter;3
486;levels;6
487;like;11
488;line;2
489;linked;3
492;linoleic;1
493;linseed;1
494;lipases;1
495;lipid;5
496;lipids;5
498;liquid;6
500;liver;4
504;living;11
506;located;5
509;location;5
510;logged;16
511;long;10
514;longer;9
517;main;9
518;maintain;4
519;maintaining;4
521;make;8
523;makes;6
524;making;11
525;march;7
526;material;9
527;mckinley;1
528;meaning;13
529;means;10
531;medium;2
532;melt;1
534;mention;1
535;metabolic;4
539;metabolized;1
541;module;16
542;molecule;7
544;mouse;2
546;multiple;9
548;muscle;4
550;natural;12
551;nearly;6
552;necessarily;2
553;necessary;7
554;needed;6
555;needing;8
569;needs;5
572;nomenclature;4
573;normal;6
574;normally;4
575;note;4
576;noted;5
577;number;13
578;numbers;5
579;nut;2
581;nutrient;6
582;nutrition;5
583;obese;1
584;october;9
586;offending;1
588;oil;5
592;oils;3
597;oleic;1
598;olive;3
600;omega;2
601;ones;5
602;organic;11
603;organs;4
604;oxygen;8
605;packed;1
606;pagesarticles;3
607;parameter;2
608;parameterarticles;1
609;partial;2
610;partially;4
611;particular;10
613;particularly;10
614;pearson;1
615;percentage;2
616;periods;8
617;physical;9
618;play;4
619;polyunsaturated;1
622;portion;4
623;prefer;1
624;principal;5
625;process;12
626;produce;12
627;produced;12
628;producer;2
629;product;8
